,id,home_team_api_id,away_team_api_id,home_team_goal,away_team_goal
0,1,9987,9993,1,1
1,2,10000,9994,0,0
2,3,9984,8635,0,3
3,4,9991,9998,5,0
4,5,7947,9985,1,3
5,6,8203,8342,1,1
6,7,9999,8571,2,2
7,8,4049,9996,1,2
8,9,10001,9986,1,0
9,10,8342,8571,4,1
10,11,9985,9986,1,2
11,12,10000,9991,0,2
12,13,9994,9998,0,0
13,14,7947,10001,2,2
14,15,8203,9999,1,2
15,16,9996,9984,0,1
16,17,4049,9987,1,3
17,18,9993,8635,1,3
18,19,8635,9994,2,3
19,20,9998,9996,0,0
20,21,9986,8342,2,2
21,22,9984,10000,2,0
22,23,9991,7947,1,1
23,24,9999,4049,1,2
24,25,8571,8203,0,0
25,26,10001,9987,1,0
26,27,9993,9985,1,3
27,28,8342,8635,1,1
28,29,9987,9999,1,1
29,30,10000,9993,2,2
30,31,9994,9985,1,1
31,32,7947,8571,1,0
32,33,8203,9998,0,0
33,34,9996,9986,2,1
34,35,4049,9984,3,0
35,36,10001,9991,3,2
36,37,8635,10001,2,0
37,38,9985,9996,3,1
38,39,9998,8342,1,2
39,40,9986,4049,3,2
40,41,9984,8203,2,1
41,42,9991,9987,2,3
42,43,9999,7947,2,2
43,44,8571,10000,1,0
44,45,9993,9994,0,2
45,46,8342,9993,3,0
46,47,9987,9984,3,2
47,48,10000,9986,4,2
48,49,9991,9999,4,0
49,50,7947,8635,0,2
50,51,8203,9985,0,0
51,52,9996,9994,2,0
52,53,4049,8571,3,3
53,54,10001,9998,2,1
54,55,8635,4049,5,1
55,56,9985,10000,1,2
56,57,9998,7947,5,2
57,58,9986,8203,1,2
58,59,9984,9991,3,1
59,60,9994,8342,2,0
60,61,9999,10001,1,0
61,62,8571,9987,3,1
62,63,9993,9996,3,0
63,64,8342,9985,1,4
64,65,9987,9986,1,0
65,66,10000,9996,2,1
66,67,9991,8571,1,1
67,68,7947,9994,1,1
68,69,8203,9993,2,1
69,70,9999,8635,0,3
70,71,4049,9998,2,1
71,72,10001,9984,1,2
72,73,8635,9987,2,0
73,74,9985,9991,2,1
74,75,9998,10000,2,2
75,76,9986,7947,2,0
76,77,9984,9999,4,3
77,78,9994,8203,2,2
78,79,9996,8342,5,1
79,80,8571,10001,0,0
80,81,9993,4049,2,0
81,82,9993,9987,4,1
82,83,9994,10000,2,1
83,84,8635,9984,1,2
84,85,9998,9991,1,2
85,86,9985,7947,3,2
86,87,8342,8203,3,0
87,88,8571,9999,2,1
88,89,9996,4049,1,1
89,90,9986,10001,1,2
90,91,10000,8342,3,1
91,92,9991,8635,1,2
92,93,10001,9985,0,1
93,94,9987,9998,2,0
94,95,9999,9986,3,1
95,96,4049,9994,2,1
96,97,8203,9996,2,2
97,98,9984,8571,0,1
98,99,7947,9993,0,1
99,100,8342,10000,2,0
100,101,8635,9991,2,2
101,102,9985,10001,3,0
102,103,9998,9987,3,1
103,104,9986,9999,1,0
104,105,9994,4049,4,1
105,106,9996,8203,3,1
106,107,8571,9984,2,1
107,108,9993,7947,1,1
108,109,8571,8635,1,3
109,110,9994,9987,1,2
110,111,9998,9984,1,1
111,112,9986,9991,2,5
112,113,9996,7947,0,2
113,114,10000,8203,1,1
114,115,9985,9999,3,0
115,116,8342,4049,3,1
116,117,9993,10001,2,1
117,118,7947,8342,0,2
118,119,8571,9985,0,2
119,120,8635,9998,3,2
120,121,9987,10000,1,2
121,122,9984,9986,2,2
122,123,10001,9994,1,0
123,124,4049,8203,1,5
124,125,9991,9996,2,0
125,126,9999,9993,2,2
126,127,9986,8635,0,1
127,128,8342,9987,0,2
128,129,9993,9984,1,1
129,130,8203,9991,3,3
130,131,10000,7947,1,0
131,132,9994,9999,2,1
132,133,9998,8571,1,1
133,134,9985,4049,4,0
134,135,9996,10001,0,0
135,136,10001,8342,1,1
136,137,8635,9985,4,2
137,138,9999,9998,3,2
138,139,4049,10000,0,6
